t-SNE Component 1,t-SNE Component 2
-7.2142987,-3.230141
-4.2542396,5.1201205
5.4229355,-2.491644
3.5816612,2.804561
-4.1621666,0.87118775
6.84181,2.1969025
0.4431934,3.9807296
-0.20472823,8.487373
-5.897424,0.45239353
-0.46457914,7.7907243
6.402044,1.9973363
-5.2887497,0.37491855
-3.380349,0.9129786
-7.483796,0.898616
3.9389412,-0.039642222
-6.3482695,-2.946601
2.2752974,-1.5352863
-0.75733835,8.045402
-4.818634,5.1485953
3.263475,-0.46348763
6.831442,2.240772
0.14921899,-1.9832197
6.738361,-4.5957556
-3.2261274,3.6307695
5.4268446,3.61989
-3.0455801,4.2346067
-4.578503,-4.077545
5.386067,4.0655713
-3.7066953,-0.4950452
-1.0904957,0.8034128
-4.278732,4.445193
0.08129117,4.2564344
-4.4663653,6.1126227
3.117552,2.9000359
-0.1191472,-0.59206635
5.3833623,-1.9197818
-3.1831675,4.228028
-4.820037,4.8828554
0.7457207,-3.0268223
2.288162,0.79365265
-1.4855721,2.0806186
-1.5794551,4.8292203
-0.9870478,7.635325
-4.510649,3.4989572
-7.266782,-0.883909
-0.77772385,8.428636
-7.243255,1.5025529
-7.749978,0.7662689
2.369389,-3.7648683
-4.9038796,5.5527973
1.76964,0.6595153
2.2063327,-1.592503
3.0461855,-0.4258322
-2.9828107,0.86510205
-0.73435855,0.26828474
-1.8181086,-2.6475737
2.0873692,-0.8176034
-0.95252305,-0.03170207
-2.0356529,5.5290112
-1.520071,2.3495817
-4.8908634,1.2725114
7.740895,-1.4251368
-1.0950972,7.84649
-5.1207924,-4.6329665
7.973837,-2.1336863
-0.82781106,7.8445773
2.962491,-3.7142367
5.7332826,0.77472097
-7.038411,2.903124
-5.5770926,-3.7683885
-5.005665,3.1162906
2.7476144,6.8331943
-4.4681334,-1.0339736
-6.562235,0.78925043
1.9979584,4.5893626
-1.1252792,1.3582901
2.7101452,2.0865386
-0.022064023,-7.394341
1.9045818,0.9118537
-3.2501378,4.1132236
0.34904072,-2.354027
-3.794453,5.066551
-7.164413,2.555382
-5.673876,0.36552757
0.49747238,-2.950452
2.7856889,5.8733716
-0.28964838,-6.916154
1.0820587,4.385123
-5.1391053,-4.045371
-0.06748655,7.0200057
-4.5298505,5.908612
-3.5144215,-7.0137973
3.9633536,2.6623461
2.079694,7.2320123
1.051974,7.6890435
-6.218824,-2.573274
2.2347713,7.1922975
-1.2534667,1.412206
2.0785801,-1.2220917
0.076897904,-3.9383397
-5.928982,-2.8915167
-0.98970014,4.362699
-3.8035574,-6.2629275
2.0585592,5.677406
-2.0567443,5.9712887
-4.4054227,6.057551
-1.683357,1.4672191
1.5179768,-7.0507827
-2.9775405,3.5585167
0.2323026,-2.0585737
0.50431293,-8.113162
-3.0829372,4.3201747
-3.6845157,3.7194855
6.0526843,-5.525788
-5.392283,5.542349
-1.80643,0.87514055
-2.4924228,3.5102189
3.096909,2.9285147
1.6320194,-4.577562
-1.7149523,5.699435
2.0313275,6.5146275
1.6650494,4.6437607
-0.5102111,3.106282
-0.49624524,0.5906429
-6.380905,1.4678056
-5.1827927,4.21427
0.58025646,-5.1309347
-4.132836,4.6568627
-3.783586,-6.2466326
-4.9826803,1.6815151
-3.4945333,-5.939712
2.1472018,7.6604295
-3.6119132,4.91526
4.040834,3.6078005
-1.3791038,2.0642285
-3.7447894,-4.965294
-0.9927059,-4.9978204
2.327183,-0.69398755
-4.166651,-4.5011597
0.51683336,-8.824599
-0.07436557,5.1864777
-3.6552482,4.941938
6.117295,-0.736577
0.4298554,-2.6660688
-1.9533058,5.6714687
-2.0665429,6.421119
4.2491517,6.1665406
-2.8904765,0.6872572
-3.9944663,5.8374915
-4.6315503,3.4862053
0.2746734,-2.7623246
-0.28356132,-6.733262
-0.6560828,6.9821024
-2.128209,5.297402
4.6837606,2.7380714
-5.908249,0.4824465
-5.064273,5.864824
2.018747,7.748012
0.4898238,-8.752317
1.9125056,0.6660371
-1.9818934,1.9379059
-1.0371734,5.7609506
-3.257854,4.0611725
-0.68860644,3.6707847
-1.5810113,-0.088444576
-3.6536348,4.6429276
5.592919,-3.3801367
7.667823,2.5390716
2.4467356,-1.5815305
1.7743981,5.5704603
-0.9650922,-6.035605
2.46567,-0.56889063
-6.8464603,2.5279913
2.2950096,6.344391
0.70048,-2.9496417
2.6088257,-0.8654149
-6.2433777,-2.6828313
-6.69865,4.009831
4.280452,2.3912728
6.1929927,1.2235562
0.252116,-2.5347767
1.8216892,1.7131238
4.0956492,3.5608432
-4.335165,4.475812
7.3130937,0.67575
-2.7707615,0.35659572
6.9885664,2.2968225
-7.084213,1.9364365
-6.7207494,0.9372029
-6.971856,-0.13566673
4.344248,-1.0972465
-4.4486914,-0.96855056
-0.41460398,6.2671957
3.4382267,-3.0011578
5.3005123,-0.06435312
5.02611,-4.0756316
8.111623,-2.0843701
0.93287426,-3.9178674
-3.7228143,-3.2566333
2.6931434,5.2339787
1.4186641,7.622882
6.1316457,1.7682228
0.6895987,-3.183016
4.7774496,-0.69782704
-5.312916,-1.715693
-4.343113,5.054891
3.3969798,3.2160294
5.0819225,-1.7849554
-4.796339,0.6738456
1.8030989,-2.0018716
-1.0470289,-5.9907875
-4.4749513,2.5529177
-6.923467,2.9477987
5.571876,0.46582747
2.793728,6.179895
-1.5099615,-2.252116
-6.1235704,3.0354738
-4.1389956,-5.0953403
-1.4419522,1.8374159
3.0875502,1.555956
4.7703133,4.0571837
1.9407095,0.7619455
0.5867391,-6.949563
-6.6709013,2.6349423
-5.2577395,-4.5332284
0.07512289,-2.932052
-3.9742148,1.8257828
-0.1822325,8.15927
-5.483508,-3.9063556
2.2551985,-0.7909314
-4.441376,3.8748796
0.97880524,8.007341
-0.42572257,-6.7985272
-4.841829,4.4300995
-7.4139395,-0.084847495
2.723142,6.3722353
5.66222,-3.1902676
3.2241447,-5.872409
-3.0232928,0.47179046
3.3960836,-2.8683052
-2.2636113,-2.6384346
-0.17905873,8.398518
2.8651042,1.422034
-2.0938404,2.632882
0.7961953,-3.5558279
-3.0845332,4.437441
6.686307,2.1553035
7.5714607,1.143116
-6.096805,3.0785766
0.10481253,7.608502
-5.469829,4.1871586
-2.0288575,2.8847835
0.32012683,-8.556862
-4.224323,5.8833585
-7.3999,0.2444928
0.47886747,-4.8244424
2.9910452,-4.3031087
2.0930707,5.5803633
3.8618195,-4.3731027
3.8051908,2.3496592
0.5403425,-8.928947
-6.34383,3.4983046
3.6539943,1.9734188
1.6719462,-4.7627234
5.5396347,1.6079375
-6.255588,-1.3274552
-2.0258532,-0.7883313
1.286003,-5.1275268
0.02416981,-2.8907413
-1.0883074,5.1484227
-0.94746655,8.351465
-3.1265712,-1.0416989
3.9906614,-0.17720285
-1.2404978,1.7333281
4.021387,5.3591638
5.644432,1.3268323
0.31327122,5.503694
-5.7874155,1.713567
-1.9344604,2.5538595
4.138317,6.0248623
-6.3365393,1.1602638
-2.2818038,2.330981
2.9599764,-4.9289374
6.9173594,0.29112247
-7.726513,0.8196865
2.228262,-2.854989
-6.827237,0.22030821
5.1661153,3.407367
-4.4780283,0.7246914
-6.3709297,4.1509175
0.80775017,-2.7542756
-4.114005,5.502527
-5.3603487,-0.31335407
0.116769806,6.9467096
-1.0037501,4.3824635
3.0498893,-4.562037
-4.5499315,5.8021894
0.47499678,6.6065326
1.3025776,5.8563437
4.45933,-1.3309588
3.2341983,-5.8937144
5.3239264,3.452278
6.9138174,2.3006847
7.2219276,0.80506325
1.9930439,7.5158916
0.20107505,-4.5547414
6.180842,1.0247214
5.55045,-2.2616718
5.33958,3.9116118
0.781081,4.475537
-1.7520311,5.601684
3.5829802,-4.1751246
4.169146,3.763807
0.20425281,-7.469525
8.111033,0.4358224
5.7593813,-1.223879
-2.987187,0.10247426
0.21307461,-2.1040936
-0.90436155,7.12232
-4.4929795,1.5324937
-0.45816088,-6.796098
3.443234,-4.6349263
-4.728483,-4.5239
0.025516525,-2.78085
0.26295856,-2.054136
-1.9494089,6.388076
4.207266,5.9160113
3.8983557,5.381967
-5.9943347,-1.5459657
-7.242426,0.43266323
-3.4214516,0.2775642
0.34525844,2.9490733
-1.8401102,6.8127785
-3.5762522,1.0414659
-7.156439,2.106264
-2.6311324,1.4469438
-0.7119653,4.5491996
3.5059433,-4.217202
6.3529177,1.637476
-3.105115,2.138275
-1.1457521,3.5770519
-0.4255346,8.126791
-0.52871966,-5.3488173
5.40848,3.934233
4.917015,0.4440673
-3.4801054,4.2972445
2.9978383,-4.6026974
0.030696644,-0.87765276
-1.1872898,1.9895952
0.38509503,6.718194
-7.1381345,2.8181555
3.5416586,-0.7163788
1.3133745,-5.0355673
-6.2634745,-2.8913512
-5.906992,2.4728796
6.1264076,-2.9207175
4.402585,-2.9066365
-5.577074,1.0463035
-0.91239727,-4.284892
4.8996096,0.63872486
-6.77129,3.0756125
5.065808,3.7551641
-6.4705467,1.0089297
-0.4680826,7.3996987
6.6953645,2.1355083
-6.241927,4.225037
0.79407865,4.082521
1.0146185,5.87167
5.379974,3.824255
2.4254987,-1.5939976
4.122443,-0.11532162
-7.1737347,-1.0484856
-0.8208586,0.95962673
-1.2114046,4.200325
-4.428741,5.967555
-1.1221727,-6.255232
-4.5849648,2.4814324
-3.030493,-1.0232698
-5.6718245,-3.156636
-1.491012,2.192418
-5.6924973,5.52303
1.9864862,-1.6693068
0.32185888,6.743108
-5.961885,-3.3216887
-5.6465898,5.496611
4.83751,4.0256896
-0.06174189,7.1130886
-5.1774163,3.875721
-1.1183616,-6.1163616
4.636556,-0.8996544
-7.0679574,-2.034217
-0.15988868,1.6367913
2.7114048,3.3167622
-3.1187117,4.4159703
4.729626,-0.5305747
-5.4665756,0.7825149
-3.9452243,4.83173
3.2272885,-4.93377
5.154435,3.8528743
4.647691,3.1656063
-5.379867,-1.2397624
3.767026,5.350113
-6.448626,-0.040841315
-1.6748377,5.6293044
-0.3611501,-0.55325156
0.2088853,5.8157816
-4.0639358,4.101294
-0.34907937,-5.7173734
-4.4189925,5.042255
4.3997626,3.9872878
-0.67343634,-6.1510363
-0.1324633,8.285292
-1.2788966,5.7570405
-5.076014,-1.3588203
2.6506186,5.602623
1.4704489,-6.8152966
-0.8437315,-4.159106
-3.8027654,4.838396
-0.8925226,-4.266
-2.4435298,3.4187484
-0.88744026,-4.3055725
1.6817664,2.6010816
-1.8086318,7.6020565
-0.34610325,7.965784
5.376128,3.972316
3.527509,3.3090708
5.1737113,3.9719408
-5.829403,1.0819739
4.388259,0.1835704
4.222286,5.9942274
5.4275384,1.2219237
1.6010532,0.7707861
-6.229979,4.9604836
5.34225,-2.9092278
0.17671403,0.82335865
-6.221454,4.486392
3.401771,-3.84607
-4.4967012,5.51201
-1.0582799,-6.9576163
-1.9104855,3.180311
-4.36547,-3.7346578
4.424624,3.4126728
0.28015223,-2.837143
4.9970098,0.98788005
3.7175672,-0.3051413
0.16895746,-1.9684483
-0.020119643,-0.362557
2.7619345,-0.32569408
1.5314511,6.684333
0.21341337,-2.6998231
0.31765273,-5.2920384
6.428091,-0.45164254
-6.9620447,2.8205695
6.849717,1.1887752
5.690719,1.1636007
-5.0300574,5.5219646
-0.66860145,7.7519064
0.5524039,-8.980691
-5.7217937,5.503241
-4.067638,-2.2109225
0.51314896,7.589837
-3.4640598,2.8971128
-4.5512443,5.933377
0.16010644,-2.6668775
6.4996967,0.12933834
1.881805,0.86697394
-3.6138773,-5.8522716
3.398574,1.8909682
-3.0487895,3.6967096
-1.4811356,4.369302
0.1331759,-1.0482485
4.191019,3.6074305
2.8932078,-2.8193545
7.011112,2.2749338
-3.09453,0.69082487
0.23464003,-2.6509397
-0.8203942,-5.036191
2.6957192,6.490629
-7.3097277,-0.51957
2.248282,6.271633
-4.3945246,2.8989105
-0.05006994,8.576087
4.361842,2.2655425
-6.142154,-0.21449597
-0.13687073,7.5430617
2.9247282,0.5768908
7.110608,2.6083686
-6.4222302,4.611479
0.4910334,5.4533424
-2.8099582,-4.588405
-4.3199635,5.399835
-6.2765036,4.8567414
5.6555133,-5.6498766
-0.6332642,8.155246
-3.7522998,-5.9733024
-4.5908036,4.8643556
0.2809467,-2.618971
-2.905405,-0.8922477
-1.0787114,4.365678
-0.7338256,8.196263
-6.4940114,4.361548
-5.548305,1.0934702
5.873593,-1.3924769
-0.017069409,-6.946417
1.0391709,7.0651293
0.23830764,8.514765
-4.4080286,-1.4075712
3.4666443,-2.931653
6.671797,1.3427111
5.441971,-5.648964
-6.2792606,1.0694152
-6.3181353,2.3320951
3.4842634,-0.098497085
-6.987644,2.8896778
-4.243473,5.994113
-1.3196408,7.433056
-5.945921,5.311207
4.8085294,3.7135012
-3.1063693,3.7826977
0.48104772,5.632308
4.6195884,0.53662777
3.747197,5.380665
-0.95499766,6.2637086
-4.6149654,5.963354
-6.4538016,-2.7925253
-1.8582269,7.1646276
-7.140623,2.7835991
0.24321075,-7.9182005
-0.34581578,8.549862
-5.8241515,-4.325021
-4.1805453,3.803373
-0.8977962,-4.312173
1.9548837,1.961499
3.2818062,1.2882378
-4.3112464,3.8145847
-7.215195,-2.2433064
-0.19044602,1.6644613
-6.7566586,3.246411
4.243287,4.001284
3.6234078,2.7093406
7.7107005,-0.8655591
-5.200316,2.6540008
-0.59276915,3.4469676
5.2628875,1.0072967
-5.9824305,1.5990993
2.6444829,-0.45406732
-2.181491,5.0998077
0.03875809,1.1677685
5.5121775,3.7297418
-3.3223875,-7.1367054
2.4028075,3.0750947
0.5848559,6.442415
-0.84386533,-4.709579
0.19296719,7.3809614
1.9210446,-1.8991617
-7.1421156,0.58868474
-1.3711569,-2.127193
-0.6802304,0.9925346
1.8349895,1.8342506
-6.541286,2.8921208
-0.44870406,-4.4091015
3.992471,5.368385
-5.507597,2.3200977
0.3081758,3.9628327
-1.807865,0.8608676
2.1469924,2.978828
-0.25857037,1.7754251
-6.768091,3.1946402
-1.1758974,0.13097419
4.503055,0.068733625
7.916992,-2.9187686
5.9081206,-1.3521763
0.86631465,-3.3556352
-4.51616,3.076904
-0.35191014,-4.1744623
2.2797356,0.547411
5.4806795,0.22497483
-1.246433,8.066995
-1.1391428,7.5246944
6.468535,1.3831451
1.8172506,0.93192536
-6.446963,4.0731077
-4.9867396,-2.1888962
1.4256567,-6.485447
4.061777,3.7998273
6.908434,2.1747172
1.4731549,-4.7008944
-0.78479254,5.2374268
0.69590473,-8.517081
0.78211653,5.805226
2.0744283,-0.8723951
1.480194,0.29098263
2.3888874,7.190291
5.860594,-2.6902764
-5.438097,4.713729
-0.32753262,7.6704507
4.1339526,0.14048657
-2.0629704,2.677076
-6.6926007,0.82278836
-1.1521375,-0.24900344
1.8458159,-1.95502
2.1040032,-1.7728951
-6.522048,3.8665917
-0.45512947,7.1355357
7.067439,2.5557384
-3.7490377,-7.081288
-0.7430829,-5.4987793
0.4244993,-3.0258074
7.5074754,1.2157271
6.5762615,-5.0117846
-7.3752184,-0.2885318
4.2566056,-2.206491
4.0076575,6.026211
7.432614,-3.1499438
-2.0164778,2.5306196
0.1763559,-3.305576
0.18610166,-3.5687582
-0.7460477,5.9538884
-3.8110201,2.3543134
2.9581852,3.3728707
-2.3218753,3.2110152
2.415367,6.0948963
7.6886187,-2.8778038
4.6663175,2.866233
6.728533,2.023029
-0.18860222,7.2640996
2.7439132,-0.37744087
-1.508329,4.712614
-2.386793,-1.4557356
5.7001505,1.2431549
-6.998928,-2.75287
1.9555924,6.9799643
6.7453885,2.038811
-0.119084544,-5.956583
2.0480173,-2.0944767
0.2818885,-7.3163853
3.3746266,-5.541421
2.8036132,6.0947976
-1.1528776,7.2550387
0.9078733,-3.504227
-6.3738766,3.2821102
3.2101927,1.8850969
-0.046103794,-0.3102353
-1.436994,-2.0227315
-0.79854894,7.2302895
-1.6862117,5.083325
2.1840296,-1.4218847
3.5383923,3.473206
7.695047,2.7067804
4.864059,-4.397682
-1.7747326,4.817604
-6.332482,-2.0539534
-3.4134004,-5.322922
5.8016605,1.4013723
1.7683268,2.5718822
7.819453,2.46537
-2.0514233,1.9338839
-4.0702543,-5.18858
2.1870248,4.533304
3.6000707,2.1159422
0.41946593,-8.730971
-1.2103356,0.29490125
-7.4134274,0.8034853
-1.1029767,1.5000149
-6.454565,-3.5058208
5.1986713,1.3036306
-2.1972249,5.3463287
6.311881,-2.0900064
7.2748413,1.6737822
-5.131762,-0.7388525
-3.7289205,3.2998857
-6.2930636,1.7582823
-3.6068568,-1.6128893
0.91937226,6.493288
4.178078,3.773096
1.4933444,-4.0749836
4.711366,2.7366428
2.4189942,0.7634159
-3.257452,-6.7272286
3.0815623,2.730219
-2.2242115,3.1159158
4.5928245,-1.301426
2.2528565,-3.475673
4.482258,-2.885139
-0.46410748,-0.49727446
-0.042927288,-0.69901645
0.85249424,-3.9184015
-0.83411556,-4.360515
1.8249182,0.4825152
1.8926119,7.086934
-2.9200208,0.95846164
-3.7867856,0.09537646
2.640866,3.117111
2.6826172,-0.49322087
2.962048,-4.5441155
3.4004002,-2.4851036
-0.19735695,4.8372865
-0.1613163,5.143947
-3.6920552,1.3632504
-7.0431485,-0.27043813
-3.532734,-1.1853194
4.297616,-2.3376346
7.9124584,-0.9981875
4.223024,6.1865764
1.0439742,6.1637774
-0.25920218,7.4579463
7.04735,0.8563989
-5.0045357,-2.227493
5.4470086,1.0029242
-0.84033245,-5.0784273
1.576933,-4.906311
1.740164,7.0148096
6.7397046,1.9313531
-0.27963132,8.578129
2.3955553,0.7849169
-0.3418046,7.734749
-1.926803,5.7874546
0.6685912,2.8713126
-7.138758,2.745066
-2.169241,1.4404504
-0.1318771,5.0711694
0.1129116,5.098291
2.1286297,-1.5645509
2.2205853,7.400263
3.3960307,-5.661675
0.56528,6.3854294
-4.35293,4.782039
2.9173813,-3.4331677
4.480292,-1.1959156
-4.0207644,3.2691195
-5.6520944,-2.7852857
7.6533904,-3.46011
1.8860885,0.86816764
-5.75941,-3.8276577
4.4946694,3.7314346
7.686413,2.9415736
-3.0884717,1.3536233
0.4005454,4.81595
-4.166962,5.9310465
-4.8305526,1.0409153
-0.8040554,4.54793
-6.1697526,2.4961786
-2.3161137,1.7199858
2.2236483,6.517005
-4.318584,1.047211
-4.8430305,0.26537177
-0.0060878256,-0.14695449
-2.4021938,-4.128954
2.5943038,6.9947963
-3.5779707,-2.9691381
2.9625874,-5.164404
2.0499778,1.3969084
1.7694985,7.5298004
7.505344,1.1487932
5.617686,-2.4905167
0.7524041,4.2649403
0.8062696,-4.2822695
-3.8027856,0.9632091
2.5598524,6.6337895
6.823295,0.702189
-4.180339,-4.479339
-7.1980553,-3.6555474
-1.0267487,-0.1491775
-4.2788057,-6.1917334
0.04612558,-1.0883868
-4.3310366,5.8541965
-6.067227,3.2229393
-3.7141092,-7.0617747
-2.0488884,5.545671
0.30513686,-2.657897
7.714458,2.8016348
-7.089102,-1.3410028
-6.7198896,1.9699869
-2.6386077,0.5298948
5.4305534,1.2714006
1.7091019,-4.9622664
6.1725893,-1.564718
-0.090637974,5.086014
-1.3707479,2.2523143
1.0494295,-5.096028
-3.4951532,2.5261188
2.5214722,-1.1471394
-5.951641,3.5949507
2.2215176,7.414442
-2.5864775,-1.7161733
-5.6888742,5.5102367
3.8648348,0.1055893
3.1701896,3.4961655
-3.7936473,0.91750157
3.4563942,1.8097335
1.1621404,-6.6912084
-4.339944,-4.5918303
-1.140907,1.519508
-2.6043878,0.011789528
-4.693819,3.8523316
0.9196494,-4.333396
1.3183839,6.1945157
0.11420956,-7.7746797
4.959774,-4.1398687
0.29171315,-5.809497
3.1051848,-4.9839673
-0.92014956,5.312189
3.6311786,2.94244
7.842034,1.3801384
-1.5460337,1.2748017
-4.1438766,-2.1717706
-1.219223,1.930946
0.1194736,5.3905163
-0.96572405,-4.975265
-0.6434298,5.033614
-5.6748605,5.575843
2.4803793,0.98345387
1.5517299,6.49669
1.5119808,-4.046208
-6.9948807,2.8208022
4.374103,3.861072
-0.4357736,0.5906851
-1.6904863,-1.8164024
-3.3009434,2.5646472
-6.9876723,2.8242137
1.2344481,3.359538
5.169671,3.9089527
-0.2699042,-0.7140181
0.72252065,2.975354
-7.1268187,1.0191673
7.231759,1.4060464
-4.4145885,4.1977553
-1.9421811,5.231967
5.1423855,-4.4093933
-1.5485222,1.7502673
-0.502464,6.2214446
0.80198437,-4.611642
-4.8640847,-4.8592362
3.9000454,-0.98986757
0.9753214,4.437487
-1.9920069,2.5493395
0.23430784,-0.7923846
0.6366086,-7.324428
2.0919733,4.458778
3.234959,-5.5497513
-0.918863,-4.5514984
-6.548843,-1.9080822
1.2196828,7.8163276
-6.169053,0.01633491
-4.6436543,3.4792702
0.20351715,3.2480073
1.3145492,8.194952
3.0622482,-5.5638013
-0.41446236,-4.364846
2.3789785,-3.843636
7.3900433,-2.347906
-4.301846,1.6737767
-6.8043365,2.158323
1.6836303,-4.914108
-0.18714124,-5.26911
-1.7707747,-0.5975322
-5.470862,-0.7336642
2.1445398,0.65395856
-1.053643,-6.7007785
1.4410725,0.30771273
0.83847344,3.03038
0.5118898,-8.065458
7.563695,1.0745142
6.1099296,1.5133661
-5.344989,1.1102031
1.4444224,6.2863836
5.46305,-5.6054716
2.4648094,5.984437
1.5269825,0.3664913
6.5885305,2.107912
-4.5554004,1.0766613
-1.4271389,-2.662668
2.74847,-0.71685
-7.1507034,-0.87640846
7.644078,-3.170669
-0.13347778,-5.730294
-0.6517373,4.2228603
1.7208123,0.6489087
3.3166852,-4.233488
3.7190793,3.473966
1.2717423,-5.215194
-6.5340514,-1.4726958
-0.9893901,7.6837964
-2.883,-1.8331357
-5.7637763,-2.0982368
-3.560508,-3.3747325
-7.3483114,1.7766
0.108943105,8.6178055
3.3727653,-6.137137
-2.9359736,-1.3868791
1.5628742,0.46376517
2.2710416,6.881456
1.4664075,0.33808342
1.4183255,-4.128197
-3.194465,-6.365535
3.2638133,2.202559
2.5649502,5.9879594
1.7509791,-5.191624
0.42330068,3.0947523
-5.6526456,-1.7675904
7.310594,-3.4187098
0.8929628,-4.1305003
-0.44305182,-6.881738
4.6002016,-3.5702488
6.996615,1.046299
0.2754481,-8.016853
-5.348321,0.18454203
-1.3900719,6.054058
-0.2771148,-6.968554
-2.957456,0.36325523
2.0783157,-2.4647577
5.8806486,-4.807521
-6.27987,0.0052771126
-5.937506,-3.4474554
-1.9888313,5.540584
7.472358,-1.2218095
1.058644,7.466955
-6.3312693,-1.500784
4.4187274,3.8351488
-3.406981,-6.4963717
1.0214729,4.5710235
2.8254967,-3.1966615
-0.53718567,6.0416083
2.2288663,5.5662656
0.19053298,-8.398886
-1.8564848,5.780781
4.909509,3.959549
-5.5487976,-3.0383053
-7.04539,0.11543276
-4.2328625,3.8667562
3.528729,1.5496445
0.31800255,-4.6077204
0.051349536,3.7163868
-0.3603519,4.3103824
6.9354897,0.5653218
-1.2343845,1.9284409
7.5115213,2.3598208
-0.35625383,0.42249325
-0.65555227,-0.9432662
5.839883,-0.28946894
2.2072146,7.5079064
0.2815342,-4.804384
-2.843055,-2.0472965
-4.2952075,-6.756188
-7.358699,2.0706341
5.053285,-1.3087366
2.1218963,-0.8192711
-0.8401797,0.17412864
-0.6134741,4.422827
2.89298,1.0346166
-4.349584,4.3390903
2.0268633,2.0472753
0.46148986,-7.9237895
-5.759617,-3.8870702
1.0887256,-4.253545
1.5695682,-4.0105224
3.403514,-4.263725
5.7393856,-4.125516
5.7068615,-0.08433723
-0.06563101,6.413451
3.0928316,-3.2852435
-5.667692,3.4431343
-3.1243145,3.0965307
-0.5545553,3.44657
2.3823383,0.7451586
1.9009838,-2.0271935
-4.0614247,2.2921827
3.4945784,-0.28780872
0.18044436,-6.0259814
6.098256,1.6476964
1.512272,-4.463541
4.6705074,3.7164662
-2.002782,2.6536524
-0.61357087,7.0604753
-6.460859,4.423065
-4.3589582,2.1103106
-0.9998701,4.4094667
-6.2777815,-2.8114686
0.37423638,-2.3263175
-0.91257334,-5.83188
-0.26446757,-6.887964
-2.4554217,-1.0664467
-6.8172398,0.93202734
-3.8730888,-5.9248796
1.8781452,1.8446416
4.0337315,2.873004
5.7624483,1.5671204
-5.1831164,-4.437304
-6.376835,-2.7335708
0.45816597,-8.8687
1.6661549,2.5332415
0.15078323,3.2602334
-3.0415595,-0.35655454
3.551989,-5.7882533
1.6309111,5.2361736
3.7123501,-0.31362855
-0.355301,-4.613319
-0.1374175,-6.024161
6.657291,-0.6907088
-5.992282,1.4489605
-6.885511,0.5531425
5.8537183,-0.89784414
0.81363064,3.1305966
1.8801626,-1.5175148
4.3794303,2.4216206
6.83059,-0.5422369
-1.3578739,3.9696774
-3.7120504,-0.6230852
-3.7336402,-6.301816
-0.03405629,2.9565494
-2.7564507,2.2326434
-5.7510552,5.487644
7.382389,-3.266289
-0.34541574,3.3683617
3.7384462,3.605281
0.08028862,-0.89089143
5.1435666,4.1906724
-6.777496,-0.64322865
-3.1590683,1.4174292
-4.974062,-0.18056266
-4.74428,3.263877
-1.1085544,1.2898458
-6.2910976,-2.0047448
-2.7264652,3.0747797
-3.1952863,-6.9752026
0.11755884,-6.8003435
-6.044609,1.1404661
-0.88912827,4.0308676
0.87389106,-3.5570893
2.6105077,6.7544208
0.34950316,-6.133621
0.4683715,-8.6305685
6.5832434,1.3825524
-5.038145,0.4769639
-6.1689553,1.7373997
-0.56580555,5.579763
-0.066404186,-8.460987
3.8353364,3.7188702
7.772848,2.565042
-6.478146,4.288071
-3.2473636,-6.593304
-1.0121233,-6.975717
-1.1250403,-6.563583
6.995068,-0.5965941
